pid,block,delays,score,trial_index,trial_time,clicks,n_clicks,stim_i
6,training,[],18.0,4,28725.0,"[4, 3, 7, 8, 12, 11, 10, 2]",8,27
6,training,[],53.0,5,14347.0,"[11, 12, 4]",3,33
6,training,[],55.0,6,9982.0,[3],1,20
6,training,[],18.0,7,20050.0,"[7, 11, 12, 8, 3, 4]",6,12
6,training,[],46.0,8,19306.0,"[4, 3]",2,35
6,training,[],48.0,9,17592.0,"[4, 3, 12, 11, 8, 7]",6,58
6,test,[],36.0,10,22760.0,"[4, 11, 12, 8, 5, 1, 6, 2]",8,29
6,test,[],42.0,11,20509.0,"[3, 4, 11, 12, 10, 2]",6,18
6,test,[],50.0,12,18625.0,"[7, 8, 3, 4, 11, 12, 10, 1, 2, 9]",10,47
6,test,[],44.0,13,21692.0,"[3, 4, 11, 12, 8, 7, 9, 10, 5, 6]",10,7
6,test,[],38.0,14,16860.0,"[3, 4, 11, 12, 8, 7]",6,53
6,test,[],32.0,15,12679.0,"[3, 4, 11, 12, 8, 7]",6,52
6,test,[],32.0,16,11605.0,"[3, 4, 11, 12, 8, 7]",6,6
6,test,[],24.0,17,14389.0,"[3, 4, 11, 12, 8, 7]",6,45
6,test,[],38.0,18,17435.0,"[3, 4, 11, 12, 8, 7, 6, 10, 9, 5]",10,15
6,test,[],30.0,19,12861.0,"[3, 4, 11, 12, 8, 7]",6,10
6,test,[],44.0,20,16338.0,"[3, 4, 11, 12, 8, 7, 6, 10]",8,36
6,test,[],38.0,21,12346.0,"[3, 4, 11, 12, 8, 7]",6,2
6,test,[],44.0,22,12914.0,"[3, 4, 11, 12, 8, 7]",6,1
6,test,[],32.0,23,10890.0,"[3, 4, 11, 12, 8, 7]",6,5
6,test,[],50.0,24,11179.0,"[3, 4, 11, 12, 8, 7]",6,57
6,test,[],46.0,25,14109.0,"[3, 7, 12, 11, 8, 4, 2, 10]",8,21
6,test,[],42.0,26,11366.0,"[3, 4, 11, 12, 7, 8]",6,26
6,test,[],21.0,27,17373.0,"[3, 4, 11, 12, 8, 7, 6, 2, 10]",9,32
6,test,[],52.0,28,12004.0,"[3, 4, 11, 12, 8, 7]",6,23
6,test,[],52.0,29,14475.0,"[3, 4, 11, 12, 8, 7, 10, 2]",8,37
7,training,"[3, 3, 0, 0, 3, 3, 3, 3, 0]",10.0,0,40726.0,"[1, 5, 4, 3, 7, 10, 11, 6]",8,39
8,training,[],36.0,0,18305.0,[],0,22
8,training,[],-30.0,1,81670.0,[],0,10
8,training,[],-12.0,2,25359.0,[],0,48
8,training,[],28.0,3,36685.0,[],0,1
8,training,[],48.0,4,13781.0,[],0,35
8,training,[],18.0,5,39240.0,[],0,39
8,training,[],-54.0,6,102413.0,[],0,23
8,training,[],-45.0,7,87800.0,"[5, 1, 9]",3,58
8,training,[],60.0,8,10692.0,[],0,47
8,training,[],-12.0,9,84480.0,[],0,28
8,test,[],24.0,10,15174.0,[],0,49
8,test,[],-48.0,11,17250.0,[],0,21
8,test,[],-26.0,12,10201.0,[],0,44
8,test,[],22.0,13,11165.0,[],0,56
8,test,[],-40.0,14,20496.0,[],0,54
8,test,[],54.0,15,11481.0,[],0,51
8,test,[],28.0,16,19300.0,[],0,41
8,test,[],38.0,17,18657.0,[],0,24
8,test,[],-34.0,18,13851.0,[],0,29
8,test,[],-18.0,19,8778.0,[],0,45
8,test,[],44.0,20,11286.0,[],0,36
8,test,[],-24.0,21,24073.0,[],0,2
8,test,[],18.0,22,10494.0,[],0,4
8,test,[],-22.0,23,12069.0,[],0,27
8,test,[],-60.0,24,11290.0,[],0,9
8,test,[],-26.0,25,12291.0,[],0,19
8,test,[],-30.0,26,10421.0,[],0,52
8,test,[],50.0,27,14129.0,[],0,30
8,test,[],-54.0,28,21709.0,[],0,37
8,test,[],-20.0,29,13373.0,[],0,16
9,training,[],-55.0,0,59526.0,[5],1,33
9,training,[],-47.0,1,81537.0,"[5, 9, 10, 11, 1]",5,5
9,training,[],44.0,2,26853.0,"[5, 6, 7, 9, 10, 8, 12, 11, 1, 2, 4, 3]",12,57
9,training,[],36.0,3,20951.0,"[5, 6, 7, 8, 9, 10, 12, 11, 1, 2, 4, 3]",12,15
9,training,[],42.0,4,15149.0,"[4, 2, 3, 1, 5, 8, 6, 7, 9, 10, 11, 12]",12,21
9,training,[],18.0,5,13419.0,"[12, 10, 11, 9, 5, 6, 7, 8, 1, 2, 4, 3]",12,55
9,training,[],48.0,6,11096.0,"[4, 2, 3, 1, 5, 6, 7, 8, 9, 10, 11, 12]",12,22
9,training,[],34.0,7,14855.0,"[12, 10, 11, 9, 1, 2, 4, 3, 5, 6, 7, 8]",12,25
9,training,[],40.0,8,12973.0,"[8, 6, 7, 5, 1, 2, 3, 4, 11, 10, 9, 12]",12,50
9,training,[],48.0,9,11397.0,"[12, 10, 11, 9, 6, 7, 8, 5, 1, 2, 4, 3]",12,0
9,test,[],43.0,10,14996.0,"[12, 10, 11, 4, 2, 3, 7, 6, 8, 5, 1]",11,44
9,test,[],46.0,11,13875.0,"[11, 12, 8, 7, 3, 4, 2, 1, 5, 6]",10,20
